Year,sector,avg_return,volatility,avg_adj_close,avg_volume,avg_range_pct,sector_growth_yoy
1981,Aerospace & Defense,-0.0001018034301905,0.0212468392767301,1.840802988671833,846843.707798618,-56.95908712844975,10.762464368424585
1982,Aerospace & Defense,0.0014991761661675,0.0214091054970104,2.23530462273496,1063485.6916996047,-61.64406680985025,21.43095358334708
1983,Aerospace & Defense,0.0015800227782105,0.0177582167137985,3.610884279790132,975412.6743083004,-61.54291995108563,61.53880071039766
1984,Aerospace & Defense,0.0006156677198028,0.017591542642739,3.9354422140498406,1030500.4442687748,-61.740563655215,8.98832277944317
1985,Aerospace & Defense,0.0008574588385469,0.0150377347258514,13.160621057602734,1001927.582538518,-38.31083969012848,234.41276333872403
1986,Aerospace & Defense,-0.0002405148491649,0.0200059521466024,16.85981938709207,1025007.3340136056,-32.70154515118188,28.10808329864003
1987,Aerospace & Defense,-0.0003982739917427,0.0336107623595318,11.21493807079008,1297454.8053691275,-43.34068143094578,-33.48126801775664
1988,Aerospace & Defense,0.000923272223913,0.0227050176381689,10.01055690996905,843341.2683254875,-40.03310768479304,-10.739079905915004
1989,Aerospace & Defense,0.0005607324831576,0.0202180300854762,15.538566207264196,823704.4659090909,-31.130779438655345,55.22179582027107
1990,Aerospace & Defense,-0.0001794881790008,0.0248401947612141,17.47995796036162,742388.8789297659,-26.57066882553089,12.49402118060181
1991,Aerospace & Defense,0.002182913819944,0.0241155071619098,23.79871486242303,889390.5418589321,-23.40800066743339,36.14858180088374
1992,Aerospace & Defense,0.0010600720357506,0.0199293455577548,23.39281499542688,678462.0256578948,-26.072670270832926,-1.7055537214618388
1993,Aerospace & Defense,0.0012126798176689,0.019300236493727,29.968172352672568,588756.3634564644,-25.18009365502675,28.10844850665095
1994,Aerospace & Defense,-0.0002091439158407,0.0255650203095287,23.271549965023365,638940.0667989418,-30.10144065868612,-22.345781747521208
1995,Aerospace & Defense,0.0015380454119953,0.0205175968985536,24.29418441038283,663784.3921957671,-33.0769208305111,4.394354681559509
1996,Aerospace & Defense,0.001219754324453,0.0217391479421271,29.19354935377088,726284.3644558918,-35.522519173698655,20.166822069952502
1997,Aerospace & Defense,0.0003923935484573,0.0242409802567451,29.61718375024612,729484.5442176871,-39.149418215610304,1.4511232989917966
1998,Aerospace & Defense,0.0007917298467475,0.0354717203551799,34.21570312341235,827792.0794100964,-40.26872705901645,15.526524776779338
1999,Aerospace & Defense,0.0001812359889503,0.0301407706985637,38.35739430913579,965475.5130385488,-40.551938198432886,12.104650226782754
2000,Aerospace & Defense,0.0005679589506729,0.0393153753746038,160.52616049087885,1098419.5679824562,-24.576061393598604,318.50121308330233
2001,Aerospace & Defense,0.0005237784087237,0.0584483765327553,260.0515854451298,1372649.2638748738,-20.44661713323202,61.999505033888845
2002,Aerospace & Defense,0.0004000034036934,0.0617105677913763,73.53087337856118,1938471.840263692,-28.647535769877745,-71.72450486979399
2003,Aerospace & Defense,0.0030032893073775,0.0564518045095025,91.12193804221916,1656910.253139126,-22.913686616644718,23.92337239501208
2004,Aerospace & Defense,0.0031716007500623,0.1182264911072537,105.86589631657796,1120813.9925011029,-23.24457879298061,16.1804704675262
2005,Aerospace & Defense,0.00257423907254,0.056470613150237,85.8759962716317,1035691.0955882352,-25.526669944163977,-18.88228479657802
2006,Aerospace & Defense,0.0010447586192073,0.0371463367956586,283.15194003824286,1031627.3103993674,-19.13540981997321,229.72186912698365
2007,Aerospace & Defense,0.0009154063563053,0.027128555264711,135.78668115923358,1266935.2455567643,-21.016875923216663,-52.04458738976181
2008,Aerospace & Defense,-0.0015968223850905,0.0546712410007017,91.55995813524368,2206439.2583732056,-21.52577819155561,-32.57073716392431
2009,Aerospace & Defense,0.0026354852116302,0.069180719301865,40.24902629836589,2696816.8590250327,-19.998959513458008,-56.04079870928529
2010,Aerospace & Defense,0.0024104747449747,0.0743492490574154,39.43011817272808,1535645.4562101911,-17.567235290546137,-2.034603569207482
2011,Aerospace & Defense,-0.0001345100759394,0.0261041500931314,40.05970689404125,1453252.036199095,-15.87046772388622,1.596720351065617
2012,Aerospace & Defense,0.0014409232350243,0.0452634730012022,41.54396687844395,1037401.6655,-15.157718636324494,3.7051194316738414
2013,Aerospace & Defense,0.0018730901638489,0.020944047942866,52.56952624496014,933119.7547123017,-13.530002370267583,26.53949585213311
2014,Aerospace & Defense,0.000751129382363,0.0315128566212836,65.28804827779247,800743.5664435946,-12.391647500967444,24.193716286442022
2015,Aerospace & Defense,-0.0001918912093701,0.0255560389025587,70.79138009655041,876609.3555088702,-10.952940339365403,8.429309749530201
2016,Aerospace & Defense,0.0006454328566867,0.0245010882893716,75.45850280348827,780030.3104575163,-9.764573782191786,6.592783896249088
2017,Aerospace & Defense,0.0008315264860935,0.0209292633139555,89.58989612701936,735111.2446683852,-8.377723997329422,18.72737040692758
2018,Aerospace & Defense,-0.0006670224367172,0.0237909828451262,98.18039413235464,1179283.4844152802,-7.03472050609944,9.588690663460309
2019,Aerospace & Defense,0.0011845012377374,0.0217105034331933,92.87739333385178,934615.6302521008,-5.563057944120159,-5.401282858320999
2020,Aerospace & Defense,-0.0004194232255893,0.0445532971964473,81.94152946672837,1544289.3438735178,-4.655230205157032,-11.774516353849409
2021,Aerospace & Defense,0.0052821042208532,0.2951389039459491,93.93688691783797,1397251.7217553689,-2.43648272604097,14.638923057910702
2022,Aerospace & Defense,0.0006353802710987,0.0284295104487428,111.04194824611808,1147930.1351150705,-0.6879575891875024,18.209099630096404
1987,Airlines,-0.0011173077521036,0.0307532621656776,2.574189557800651,2039629.027667984,-14.168049428977897,7.859365389533912
1988,Airlines,0.0018499232520826,0.021020601679605,2.318923641099289,1624000.2351778655,-13.29212258370101,-9.916360507633224
1989,Airlines,0.0006083191447103,0.0191467370154996,3.2385078754926484,2105577.0257936507,-12.738272732955844,39.65564963395816
1990,Airlines,0.0001300015419659,0.0222413964869785,2.694023739561262,1379869.1166007903,-11.93085240075155,-16.812808764547416
1991,Airlines,0.00204347671348,0.0232110251764463,3.19999504489861,1512558.9644268774,-10.925641454371526,18.781248951419727
1992,Airlines,0.0007764643328726,0.0208998937858624,3.4014419664548137,1279653.653543307,-10.156964592276529,6.295226046594893
1993,Airlines,0.001177891764222,0.0206655575836378,4.318536839937504,1356188.9229249011,-9.689115375092952,26.961943861665883
1994,Airlines,-0.0012160708323153,0.0224105716207744,4.287294910540656,2164872.359126984,-9.7624350511836,-0.7234378344981307
1995,Airlines,0.0010808718030944,0.0240297994556002,3.8829286358659223,2175835.66468254,-9.49328872685282,-9.431734534532875
1996,Airlines,0.0007872905497744,0.0237498178616038,4.938983455466515,2326270.252788104,-12.372182468069798,27.197379056776903
1997,Airlines,0.0009750899534559,0.0293726924015028,4.732385238055344,1434623.9670329671,-22.1274532614362,-4.183010922672869
1998,Airlines,0.001650353804753,0.0371110674608392,6.059846549989685,1382381.0327380951,-16.29011876154856,28.050575875767624
1999,Airlines,0.0012895029854286,0.0294678528750746,7.558595381558887,1248190.1339285714,-18.29967201854982,24.73245517366696
2000,Airlines,0.0017060174350031,0.0294977295239917,8.28183046077925,1046132.8472222222,-19.11967001042017,9.568379344459665
2001,Airlines,0.0001372666367196,0.0328946291048749,9.36415216398816,1143578.1653225806,-16.766881966852143,13.068629071006988
2002,Airlines,0.0001068316638192,0.0296147670096959,10.138871463179887,1229822.1099916038,-14.919613235046558,8.273245517849205
2003,Airlines,0.0014567682052975,0.0249769488312184,12.16453270987859,1531893.511904762,-12.84495548716773,19.979158963155296
2004,Airlines,0.0002402640507092,0.0235685035188364,11.66328853581782,1722440.2102312543,-12.671599912673337,-4.120537845680817
2005,Airlines,0.0008937746482919,0.0179953367792773,13.130839932183816,1520816.7447751742,-12.08756865368142,12.582655327947712
2006,Airlines,0.0012940837535767,0.0237156543163606,20.42000615987129,2084955.6498740555,-9.533752295370332,55.51180476902822
2007,Airlines,-0.0012691692079226,0.026227123744615,23.106553116703736,2956261.937959559,-10.170243831589003,13.156445379100589
2008,Airlines,0.0003678672209375,0.0664968496220082,11.729331238781825,6014103.487922706,-9.807249745863974,-49.23807467283952
2009,Airlines,0.0015813271958668,0.0463683585592388,7.86958542850208,5340488.515054195,-11.22182282316304,-32.906784979504145
2010,Airlines,0.0014801302050217,0.0267277676066782,12.31463814945335,3791189.522244356,-13.489713817521135,56.48395028348215
2011,Airlines,-0.0012122640212374,0.0292002266699446,11.947664361427384,3864597.8664021166,-12.03420952910737,-2.979980276905292
2012,Airlines,0.0015915507498581,0.0232497619840489,11.235765463946564,3077612.435478807,-11.016207773210006,-5.958477539586404
2013,Airlines,0.0015156669305905,0.0199899585568354,16.982583264346086,3053650.5042735045,-9.562704292490771,51.14754147227411
2014,Airlines,0.0017801869303949,0.0217655757117086,24.80133603001534,3711226.039263063,-8.144102430836977,46.03983177332187
2015,Airlines,0.00031520779869,0.0201663905034306,27.91724531130523,2949284.3961734693,-6.54672718952883,12.56347350610032
2016,Airlines,-4.484893086494807e-05,0.0221163716148154,26.24612437099928,2527150.223214286,-4.566031826202979,-5.985980785966804
2017,Airlines,0.0015394858991566,0.0183717628272896,32.903972081216686,1921834.9726095616,-3.3275469378081137,25.366974628734184
2018,Airlines,-0.0005186028318267,0.0204740672113339,33.69656417812722,1900114.7908366532,-2.444159534939664,2.4088036999125206
2019,Airlines,0.0005929900880352,0.0174302718298303,31.21758706790824,1652227.8077876985,-1.0796771176747315,-7.356765209398142
2020,Airlines,-0.0003740412081522,0.0498781778474993,21.399941452642675,10006966.71096838,-0.4863617024702423,-31.449085395066067
2021,Airlines,-6.412466286285664e-05,0.0254247520974816,26.898420599540547,5133356.21155754,-0.1273423511790611,25.693898084094368
2022,Airlines,-0.0002030522651752,0.0307441819593852,20.95046254407404,5010614.884888304,-0.0842314666761115,-22.1126665539913
1994,Auto Components,-0.0004334003318503,0.0201879151040377,3.613839727072489,636307.1428571428,-47.768687912701175,-2.095539622924325
1995,Auto Components,0.0009413241070382,0.0160540715978775,3.738639370316551,663246.0317460317,-45.81014944394886,3.453380688389296
1996,Auto Components,0.0008888655837437,0.0126212190269812,7.097252610002055,456022.5626740947,-27.09227482881277,89.83517550132498
1997,Auto Components,0.00051167610074,0.016244374348373,10.139967822977402,470980.0139484978,-31.71620806924804,42.87173333364649
1998,Auto Components,0.000320136918465,0.0238953079507255,9.44485588419059,492919.61706349207,-33.85909233571622,-6.855169078659918
1999,Auto Components,-0.0007201666604741,0.0175977679702272,9.585098119245636,417970.4781746032,-32.353611268204666,1.4848530964860274
2000,Auto Components,0.0001217343904215,0.0217941339803925,8.82110962744743,474755.65277777775,-27.715585372187864,-7.970586031500448
2001,Auto Components,0.0002927433024033,0.0241667943668647,7.739672960292909,634681.7893145161,-28.474015998423248,-12.259644339863597
2002,Auto Components,0.000201412781345,0.0242518063475202,7.759224706698978,1013319.5823412698,-31.262728302182023,0.2526172165978613
2003,Auto Components,0.0034032063568542,0.0289155992217688,8.759090425166846,716398.0,-26.55068650426757,12.886154947988905
2004,Auto Components,0.0013193929216369,0.0505468786954888,12.007304668237293,681725.2960317461,-24.13307821022008,37.08392179326741
2005,Auto Components,0.0001756268628755,0.0244403654960764,12.815688267586724,708114.2214285714,-22.73258286423018,6.732431812843354
2006,Auto Components,0.0012948071690372,0.0321215762197613,15.260680965408389,772700.4517928287,-21.14002294954172,19.07812242909737
2007,Auto Components,0.0001827049741092,0.0201736199859818,17.186272846085142,1010746.8717131474,-20.190675144678917,12.617994472471604
2008,Auto Components,-0.0026695171455966,0.0360188291470946,13.1990688518102,1554253.0505928854,-18.42945850200541,-23.199934214841623
2009,Auto Components,0.0037972656251718,0.03799596234244,10.704032831501602,2040247.9010292955,-14.80315671036172,-18.903121487743533
2010,Auto Components,0.0017675476015998,0.0257994682751858,15.600421914629983,1244677.0907016543,-14.890691164278344,45.74340494097211
