Year,sector,avg_return,volatility,avg_adj_close,avg_volume,avg_range_pct,sector_growth_yoy
1999,Airlines,0.0002267979205512,0.0313142385655787,6.093688911861843,377106.3227513228,-15.502753438133322,15.63802418137974
2000,Airlines,0.0022020020568949,0.0324021190627812,9.41083844282009,327972.5,-15.560122505205657,54.43582005804653
2001,Airlines,0.0020507141835729,0.043160120353411,11.476914801745004,429031.30376344087,-15.546915675823032,21.95422194821768
2002,Airlines,-0.0007445111865923,0.0338435941172252,11.541836557804713,715327.2981895633,-12.984838198303777,0.5656725451149702
2003,Airlines,0.0029886403567858,0.0537482487502882,12.662344194564318,1102045.560515873,-11.144866749451852,9.708226512719984
2004,Airlines,0.0011257659489122,0.0327042528369061,12.705120968203696,1280285.496031746,-10.483079166309908,0.3378266534386442
2005,Airlines,0.0010051196392441,0.0258154236584108,14.826618334748025,1105276.781395349,-11.18383474390233,16.697970620300783
2006,Airlines,0.0011207660092163,0.0277638169835054,20.769073279823843,1542023.751968504,-10.186392493801518,40.07963792491329
2007,Airlines,-0.0008976209612998,0.0287541514454259,22.211145168281647,1738307.2888446215,-12.605056401079793,6.943361742859788
2008,Airlines,0.0015110562414194,0.0614086218092811,13.55977998899691,2898449.039525692,-13.570738578477282,-38.95055889166494
2009,Airlines,0.0005133540081272,0.0460808302221045,14.029254124987691,3129419.769179894,-14.363805649098492,3.4622548180850865
2010,Airlines,0.001159969699866,0.0264878089442863,16.43308685475556,2898802.871031746,-12.97102490319234,17.13443001567967
2011,Airlines,-0.0005256287838867,0.0292709085712549,15.908855516443808,2388541.6322751325,-11.80404180372973,-3.190096559126065
2012,Airlines,0.0015171106415374,0.0247391744342641,18.97503059895833,2312591.938,-11.661134878472652,19.27338568978294
2013,Airlines,0.0017252533519572,0.0203246336662751,28.49551217833524,2344600.4312169314,-9.223926166296351,50.17373505526545
2014,Airlines,0.0023038589731361,0.0233818282240676,38.61809060560963,3733339.494708995,-7.919088781216931,35.523412823477706
2015,Airlines,0.0010919452886074,0.0251012951038285,57.78948258975196,3664318.375,-6.218056583393397,49.64355224066284
2016,Airlines,0.0010500000988169,0.0224260267385638,57.224033114771366,2933458.8624338624,-4.008528812212291,-0.9784643323331288
2017,Airlines,0.0003983943473653,0.0194931797934218,64.89786061062756,2239181.4077025237,-2.9490982712323768,13.410147936383977
2018,Airlines,-0.0011743316798697,0.0227764063339465,65.72989792462839,2233104.8472775565,-2.130992241150175,1.2820720223627458
2019,Airlines,0.0010657317150136,0.0192118955675947,57.89877763690141,2206874.074074074,-0.9110334480353834,-11.914091661464044
2020,Airlines,0.0007180318451067,0.058824678357111,47.968033297731,13827153.754940713,-0.3294116155835054,-17.151906731863576
2021,Airlines,0.0004006733179397,0.0275420205002982,70.20947752617023,7992119.642857143,-0.1304102980249411,46.367221458486
2022,Airlines,-0.0016940439283799,0.0327591686780599,45.62498599507896,8113804.273109243,-0.2240624539995873,-35.01591579559544
1994,Auto Components,-0.0007157504327547,0.03599162714017,10.509218043999176,612089.9412628488,-22.976590896461,26.546963067282125
1995,Auto Components,0.0009292505135737,0.0385353822945644,24.621297853524577,462685.26385224273,-10.180288126766044,134.28287195528773
1996,Auto Components,0.0006380550861521,0.0478768820962601,537.3423254567002,372299.0534308212,-0.626702450144077,2082.428922526433
1997,Auto Components,0.0025062011974152,0.054364076779917,372.23522439769,270796.45849802374,-0.3061819940271502,-30.726613787343425
1998,Auto Components,0.0004411621828062,0.0551573966587555,194.73238484787836,297073.3650793651,-1.3890519738400957,-47.68566430998765
1999,Auto Components,0.001701261331717,0.0942834992626135,196.4420008633683,428910.9280045352,-0.9983897438969516,0.8779310215018876
2000,Auto Components,6.157397775381361e-05,0.0644314905096253,226.9435515035949,528897.264739229,-0.0252945188937535,15.52700059364669
2001,Auto Components,0.0043660323898969,0.0547901688727522,197.73611948621988,456911.1555299539,-0.5533098637259521,-12.86991052350407
2002,Auto Components,-8.528119267708024e-05,0.0382926583151318,258.93672209748337,514245.75226757367,-0.7248036094927592,30.95064410603472
2003,Auto Components,0.0032197855934389,0.0414188687656085,215.09100391486663,685640.516063233,-0.0381014678461512,-16.932985722322492
2004,Auto Components,0.0014965118216949,0.0511181200402951,247.42250257848747,834298.6304563492,-0.4535224650194231,15.031543893122423
2005,Auto Components,9.104554718032487e-05,0.0407941928859279,141.74726741938363,644942.5277777778,-0.8693319818032732,-42.71043824139702
